date;day;infected_people
4-3-2020;1;1
5-3-2020;2;1
6-3-2020;3;5
7-3-2020;4;6
8-3-2020;5;11
9-3-2020;6;17
10-3-2020;7;23
11-3-2020;8;31
12-3-2020;9;51
13-3-2020;10;68
14-3-2020;11;104
15-3-2020;12;125
16-3-2020;13;177
17-3-2020;14;238
18-3-2020;15;287
19-3-2020;16;355
20-3-2020;17;425
21-3-2020;18;536
22-3-2020;19;634
23-3-2020;20;749
24-3-2020;21;901
25-3-2020;22;1051
26-3-2020;23;1221
27-3-2020;24;1389
28-3-2020;25;1638
29-3-2020;26;1862
30-3-2020;27;2055
31-3-2020;28;2311
